Subsistence Project Year,Section Sort,Section,District,Tributary Sort,Tributary,Community Sort,Community,Harvest,Year Comment,Community Year Comment,Harvest Comment
1997,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,1534,,,
1997,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,955,,Includes communities within the Fairbanks North Star Borough.,
1997,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,763,,"Includes Manley, Minto, Nenana, Northway, Tanacross, and Tok residents who fished in a permit area of District 5. Does not include 3 household(s) that fished more than one permit.",
1997,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,314,,,
1997,3,Upper Yukon,District 6,5,,32,Manley,242,,,
1997,3,Upper Yukon,District 6,5,,33,Minto,1208,,Does not include 1 household(s) that fished more than one permit.,
1997,3,Upper Yukon,District 6,5,,34,Nenana/Healy,1086,,,
1997,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,176,,,
1997,3,Upper Yukon,District 6,5,,36,District 6 Other,0,,"Includes Dot Lake, Gakona, Healy Lake, Northway, Tanacross, and Tok residents who fished in District 6.",
1998,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,13,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,378,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 1,5,,3,Nunam Iqua,527,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 1,5,,4,Alakanuk,1930,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 1,5,,5,Emmonak,2396,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 1,5,,6,Kotlik,2389,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 2,5,,10,Pilot Station,1715,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 2,5,,11,Marshall,1711,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 2,5,,7,Mountain Village,2533,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 2,5,,8,Pitkas Point,817,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 2,5,,9,St. Mary's,2679,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 3,5,,12,Russian Mission,1314,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 3,5,,13,Holy Cross,2648,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,2,Lower Yukon,District 3,5,,14,Shageluk,552,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,1025,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,2177,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1870,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,4147,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,800,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,1668,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,3891,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,114,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,109,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,5212,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,2117,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,470,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,1819,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,855,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,2473,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,1231,Fall chum and coho salmon subsistence harvests were restricted.,Includes communities within the Fairbanks North Star Borough.,
1998,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,446,Fall chum and coho salmon subsistence harvests were restricted.,"Includes Manley, Minto, Nenana, Northway and Tok residents who fished in a permit area of District 5. Does not include 1 household(s) that fished more than one permit.",
1998,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,179,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 6,5,,32,Manley,209,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 6,5,,33,Minto,275,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 6,5,,34,Nenana/Healy,1205,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,230,Fall chum and coho salmon subsistence harvests were restricted.,,
1998,3,Upper Yukon,District 6,5,,36,District 6 Other,0,Fall chum and coho salmon subsistence harvests were restricted.,"Includes Dot Lake, Gakona, Galena, Northway, Paxson, Slana, Tanacross, and Tok residents who fished in District 6.",
1999,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,173,,,
1999,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,938,,,
1999,2,Lower Yukon,District 1,5,,3,Nunam Iqua,855,,,
1999,2,Lower Yukon,District 1,5,,4,Alakanuk,1236,,,
1999,2,Lower Yukon,District 1,5,,5,Emmonak,3337,,,
1999,2,Lower Yukon,District 1,5,,6,Kotlik,1420,,,
1999,2,Lower Yukon,District 2,5,,10,Pilot Station,2715,,,
1999,2,Lower Yukon,District 2,5,,11,Marshall,2780,,,
1999,2,Lower Yukon,District 2,5,,7,Mountain Village,2162,,,
1999,2,Lower Yukon,District 2,5,,8,Pitkas Point,632,,,
1999,2,Lower Yukon,District 2,5,,9,St. Mary's,2150,,,
1999,2,Lower Yukon,District 3,5,,12,Russian Mission,2722,,,
1999,2,Lower Yukon,District 3,5,,13,Holy Cross,4581,,,
1999,2,Lower Yukon,District 3,5,,14,Shageluk,412,,,
1999,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,776,,,
1999,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,2476,,,
1999,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,2051,,,
1999,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,1799,,,
1999,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,506,,,
1999,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,2539,,,
1999,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,777,,,
1999,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,195,,,
1999,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,119,,,
1999,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,3388,,,
1999,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,3232,,,
1999,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,473,,,
1999,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,2563,,,
1999,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,615,,,
1999,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,2558,,Does not include 2 household(s) that fished more than one permit.,
1999,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,851,,Includes communities within the Fairbanks North Star Borough. Does not include 1 household(s) that fished more than one permit.,
1999,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,488,,"Includes Anchorage, Manley, Minto, Nenana, Northway and Tok residents who fished in a permit area of District 5. Does not include 2 household(s) that fished more than one permit.",
1999,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,162,,,
1999,3,Upper Yukon,District 6,5,,32,Manley,136,,,
1999,3,Upper Yukon,District 6,5,,33,Minto,317,,Does not include 2 household(s) that fished more than one permit.,
1999,3,Upper Yukon,District 6,5,,34,Nenana/Healy,976,,Does not include 1 household(s) that fished more than one permit.,
1999,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,195,,,
1999,3,Upper Yukon,District 6,5,,36,District 6 Other,0,,"Includes Gakona, Northway, Slana, Tanacross, and Tok residents who fished in District 6.",
2000,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,114,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,449,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 1,5,,3,Nunam Iqua,684,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 1,5,,4,Alakanuk,1109,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 1,5,,5,Emmonak,2205,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 1,5,,6,Kotlik,1893,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 2,5,,10,Pilot Station,2378,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 2,5,,11,Marshall,3279,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 2,5,,7,Mountain Village,1715,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 2,5,,8,Pitkas Point,753,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 2,5,,9,St. Mary's,1810,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 3,5,,12,Russian Mission,1860,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 3,5,,13,Holy Cross,1249,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,2,Lower Yukon,District 3,5,,14,Shageluk,805,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,205,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,839,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1074,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,1083,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,175,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,788,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,1577,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,474,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,49,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,2895,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,1313,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,196,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,1060,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,653,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,1087,Fall chum and coho salmon subsistence harvests were restricted.,Does not include 1 household(s) that fished more than one permit.,
2000,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,1342,Fall chum and coho salmon subsistence harvests were restricted.,Includes communities within the Fairbanks North Star Borough.,
2000,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,205,Fall chum and coho salmon subsistence harvests were restricted.,"Includes Anchorage, Manley, Minto, Nenana, Northway and Tok residents who fished in a permit area of District 5. Does not include 1 household(s) that fished more than one permit.",
2000,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,103,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 6,5,,32,Manley,58,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 6,5,,33,Minto,0,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 6,5,,34,Nenana/Healy,541,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,360,Fall chum and coho salmon subsistence harvests were restricted.,,
2000,3,Upper Yukon,District 6,5,,36,District 6 Other,24,Fall chum and coho salmon subsistence harvests were restricted.,"Includes Denali Park, Delta Junction, Gakona, Juneau, Northway, Slana, Tanana, Tanacross, and Tok residents who fished in District 6.",
2001,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,2150,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,732,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 1,5,,3,Nunam Iqua,550,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 1,5,,4,Alakanuk,973,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 1,5,,5,Emmonak,2473,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 1,5,,6,Kotlik,3093,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 2,5,,10,Pilot Station,2614,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 2,5,,11,Marshall,4498,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 2,5,,7,Mountain Village,1864,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 2,5,,8,Pitkas Point,651,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 2,5,,9,St. Mary's,3815,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 3,5,,12,Russian Mission,3428,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 3,5,,13,Holy Cross,2711,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,2,Lower Yukon,District 3,5,,14,Shageluk,222,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,608,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,1077,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1506,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,2127,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,449,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,1755,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,2033,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,521,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,76,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,4112,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,2968,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,1368,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,2361,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,531,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,1033,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,1125,Fall chum and coho salmon subsistence harvests were restricted.,Includes communities within the Fairbanks North Star Borough. Does not include 1 household(s) that fished more than one permit.,
2001,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,40,Fall chum and coho salmon subsistence harvests were restricted.,"Includes Allakaket, Manley, Nenana, Minto, Northway, Tanacross, Tok, Wasilla, and Wiseman,  residents who fished in a permit area of District 5.",
2001,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,28,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 6,5,,32,Manley,534,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 6,5,,33,Minto,197,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 6,5,,34,Nenana/Healy,1405,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,191,Fall chum and coho salmon subsistence harvests were restricted.,,
2001,3,Upper Yukon,District 6,5,,36,District 6 Other,0,Fall chum and coho salmon subsistence harvests were restricted.,"Includes Denali Park, Dot Lake, Eagle River, Gakona, Tanana, Northway, Tanacross, and Tok residents who fished in District 6.",
2002,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,282,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,840,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 1,5,,3,Nunam Iqua,393,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 1,5,,4,Alakanuk,1773,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 1,5,,5,Emmonak,1751,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 1,5,,6,Kotlik,1686,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 2,5,,10,Pilot Station,2530,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 2,5,,11,Marshall,2290,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 2,5,,7,Mountain Village,1523,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 2,5,,8,Pitkas Point,566,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 2,5,,9,St. Mary's,2045,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 3,5,,12,Russian Mission,1887,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 3,5,,13,Holy Cross,1813,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,2,Lower Yukon,District 3,5,,14,Shageluk,439,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,708,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,2249,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1435,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,1773,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,323,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,1522,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,954,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,289,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,203,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,2379,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,2186,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,702,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,2415,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,1591,Fall chum and coho salmon subsistence harvests were restricted.,Does not include 1 household(s) that fished more than one permit.,
2002,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,1910,Fall chum and coho salmon subsistence harvests were restricted.,Does not include 1 household(s) that fished more than one permit.,
2002,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,1767,Fall chum and coho salmon subsistence harvests were restricted.,Includes communities within the Fairbanks North Star Borough.,
2002,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,348,Fall chum and coho salmon subsistence harvests were restricted.,"Includes Manley, Minto, Nenana, Northway, Tanacross, Tok, and Wasilla,  residents who fished in a permit area of District 5. Does not include 1 household(s) that fished more than one permit.",
2002,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,103,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 6,5,,32,Manley,336,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 6,5,,33,Minto,19,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 6,5,,34,Nenana/Healy,509,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,159,Fall chum and coho salmon subsistence harvests were restricted.,,
2002,3,Upper Yukon,District 6,5,,36,District 6 Other,44,Fall chum and coho salmon subsistence harvests were restricted.,"Includes Dot Lake, Eagle River, Gakona, Northway, Tanacross, and Tok residents who fished in District 6.",
2003,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,722,Fall chum salmon subsistence harvests were restricted.,,
2003,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,1128,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 1,5,,3,Nunam Iqua,925,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 1,5,,4,Alakanuk,1707,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 1,5,,5,Emmonak,2763,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 1,5,,6,Kotlik,937,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 2,5,,10,Pilot Station,2886,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 2,5,,11,Marshall,2059,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 2,5,,7,Mountain Village,2174,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 2,5,,8,Pitkas Point,633,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 2,5,,9,St. Mary's,1916,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 3,5,,12,Russian Mission,2057,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 3,5,,13,Holy Cross,2395,Fall chum salmon subsistence harvests were restricted.,,
2003,2,Lower Yukon,District 3,5,,14,Shageluk,550,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,1286,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,1613,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1838,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,2531,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,860,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,3112,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,631,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,582,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,318,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,5332,Fall chum salmon subsistence harvests were restricted.,,
2003,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,2532,Fall chum salmon subsistence harvests were restricted.,,
